Marital status,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Target_Numeric,total_units_enrolled,total_units_approved,approval_rate,avg_semester_grade,evaluation_load,is_mature_student,financial_risk,scholarship_effective,enrollment_stability
1,1,1,122.0,19,12,5,9,127.3,1,0,1,1,0,20,0,0,0,0,10.8,1.4,1.74,Dropout,0,0,0,0.0,0.0,0,0,0,0,0.0
1,1,1,160.0,1,3,3,3,142.5,1,0,0,1,0,19,0,0,0,0,13.9,-0.3,0.79,Graduate,1,12,12,1.0,13.833333333333332,12,0,1,0,1.0
1,1,1,122.0,37,37,9,9,124.8,1,0,0,1,0,19,0,0,0,0,10.8,1.4,1.74,Dropout,0,12,0,0.0,0.0,0,0,1,0,0.0
1,1,1,122.0,38,37,5,3,119.6,1,0,1,0,0,20,0,0,0,0,9.4,-0.8,-3.12,Graduate,1,12,11,0.9166666666666666,12.914285714285715,18,0,0,0,0.6666666666666666
2,0,1,100.0,37,38,9,9,141.5,0,0,1,0,0,45,0,0,0,0,13.9,-0.3,0.79,Graduate,1,12,11,0.9166666666666666,12.666666666666668,15,1,0,0,0.8
2,0,19,133.1,37,37,9,7,114.8,0,1,1,1,0,50,0,0,0,5,16.2,0.3,-0.92,Graduate,1,10,10,1.0,11.678571428571429,27,1,1,0,0.37037037037037035
1,1,1,142.0,19,38,7,10,128.4,1,0,1,0,1,18,0,0,0,0,15.5,2.8,-4.06,Graduate,1,15,15,1.0,13.822500000000002,17,0,0,1,0.8823529411764706
1,1,1,119.0,37,37,9,9,113.1,1,0,0,1,0,22,0,0,0,0,15.5,2.8,-4.06,Dropout,0,10,0,0.0,0.0,10,0,1,0,1.0
1,1,1,137.0,1,1,9,9,129.3,0,0,1,0,1,21,0,0,0,0,16.2,0.3,-0.92,Graduate,1,12,12,1.0,14.008928571428571,15,0,0,1,0.8
1,1,1,138.0,1,19,4,7,123.0,1,1,0,0,0,18,0,0,0,0,8.9,1.4,3.51,Dropout,0,12,7,0.5833333333333334,12.45,23,0,1,0,0.5217391304347826
1,1,1,139.0,38,19,5,7,130.6,1,0,1,0,0,18,0,0,0,0,13.9,-0.3,0.79,Graduate,1,12,11,0.9166666666666666,13.266666666666666,13,0,0,0,0.9230769230769231
1,1,1,136.0,19,38,9,9,119.3,1,0,1,0,1,18,0,0,0,0,12.7,3.7,-1.7,Graduate,1,16,14,0.875,13.214285714285714,16,0,0,1,1.0
1,1,1,133.0,19,37,4,9,130.2,1,0,1,0,0,19,0,0,0,0,12.7,3.7,-1.7,Dropout,0,12,0,0.0,0.0,6,0,0,0,2.0
1,1,42,110.0,1,1,4,7,111.8,1,0,1,0,1,21,0,0,0,0,8.9,1.4,3.51,Graduate,1,12,11,0.9166666666666666,10.785714285714285,15,0,0,1,0.8
1,1,1,149.0,38,37,5,5,137.1,1,0,1,0,1,18,0,0,0,0,10.8,1.4,1.74,Graduate,1,10,9,0.9,12.625,12,0,0,1,0.8333333333333334
1,1,1,127.0,19,37,9,3,120.7,1,0,1,0,0,20,0,0,0,0,15.5,2.8,-4.06,Dropout,0,12,5,0.4166666666666667,6.6,13,0,0,0,0.9230769230769231
1,1,1,137.0,19,38,5,8,137.4,1,0,1,0,0,18,0,0,0,0,10.8,1.4,1.74,Enrolled,2,12,3,0.25,11.5,24,0,0,0,0.5
